City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,kuta,-8.7233,115.1723,26.97,94,75,5.66,ID,1688606041
228,goundam,16.4145,-3.6708,35.11,36,5,3.6,ML,1688606041
229,yaring,6.8662,101.3689,30.16,79,56,1.89,TH,1688606042
230,zhangye,38.9342,100.4517,26.27,18,97,4.23,CN,1688606042
231,darab,28.7519,54.5444,30.35,17,41,1.81,IR,1688606042
232,murzuq,25.9155,13.9184,30.92,20,0,8.68,LY,1688606043
233,uliastay,47.7417,96.8444,14.84,56,2,2.19,MN,1688606043
234,asau,46.4333,26.4,17.51,82,87,1.57,RO,1688606043
235,vicksburg,32.3526,-90.8779,29.85,1,0,2.57,US,1688606045
236,emerald,-23.5333,148.1667,20.19,56,7,3.61,AU,1688606046
237,valga,57.7778,26.0473,8.33,92,3,2.21,EE,1688606046
238,fort-shevchenko,44.5086,50.263,26.21,65,0,3.2,KZ,1688606048
239,shahrud,36.4182,54.9763,19.75,49,0,3.89,IR,1688606049
240,balakhta,55.38,91.6,19.56,64,0,1.38,RU,1688606049
241,portland,45.5234,-122.6762,36.96,23,20,5.66,US,1688605846
242,kharkhorin,47.1975,102.8238,10.91,92,100,6.36,MN,1688606052
243,lompoc,34.6391,-120.4579,23.16,74,40,8.05,US,1688606053
244,seven pagodas,12.6264,80.1722,29.47,71,100,4.75,IN,1688606053
245,nemuro,43.3236,145.575,14.28,100,100,7.65,JP,1688606054
246,magadan,59.5667,150.8,13.88,84,100,2.23,RU,1688606054
247,beli,7.8587,10.9719,21.83,96,100,0.71,NG,1688606054
248,lebu,-37.6167,-73.65,9.51,87,100,2.34,CL,1688606055
249,yingchuan,34.1628,113.4639,28.64,73,100,4.07,CN,1688606055
250,ganta,7.3022,-8.5308,21.32,99,100,1.34,LR,1688606055
251,lorengau,-2.0226,147.2712,28.58,78,98,3.01,PG,1688606056
252,roma,43.2128,-75.4557,25.4,76,0,1.54,US,1688605828
253,fukuecho,32.6881,128.8419,25.2,88,75,2.06,JP,1688606056
254,yerofey pavlovich,53.9667,121.9667,26.84,38,0,2.95,RU,1688606056
255,calvinia,-31.4707,19.776,10.29,37,13,3.42,ZA,1688606056
256,melfi,40.9965,15.6514,17.5,85,0,2.54,IT,1688606057
257,harriman,35.934,-84.5524,25.81,93,0,1.54,US,1688606057
258,midvagur,62.0511,-7.1939,10.46,81,75,6.69,FO,1688606057
259,talacogon,8.4167,125.8,28.28,80,100,0.52,PH,1688606057
260,dalcahue,-42.3628,-73.7022,3.44,93,0,1.03,CL,1688606057
261,saarijarvi,62.7049,25.254,12.19,94,70,3.34,FI,1688606058
262,ayancik,41.9447,34.5861,24.3,53,0,1.67,TR,1688606058
263,karratha,-20.7377,116.8463,19.53,40,6,5.31,AU,1688606058
264,celestun,20.8667,-90.4,28.84,79,84,8.19,MX,1688606060
265,ulsteinvik,62.3432,5.8487,14.86,84,98,1.34,NO,1688606064
266,volda,62.1476,6.0741,14.73,86,98,1.01,NO,1688606065
267,newark,40.7357,-74.1724,29.97,66,20,4.12,US,1688605912
268,okha,53.5739,142.9478,9.4,98,100,6.17,RU,1688606069
269,tralee,52.2704,-9.7026,10.98,93,100,2.45,IE,1688606070
270,assens,55.2702,9.9008,13.18,90,89,11.62,DK,1688606070
271,yilan,24.757,121.753,34.45,48,79,1.33,TW,1688606070
272,flying fish cove,-10.4217,105.6791,25.82,78,100,6.69,CX,1688606070
273,ballesteros,18.4126,121.5152,30.2,66,17,2.88,PH,1688606070
274,fort bragg,35.139,-79.006,24.55,94,40,0.89,US,1688606070
275,pago pago,-14.2781,-170.7025,29.55,84,75,7.2,AS,1688606074
